timestamp,EOS Close
2020-08-20 00:00:00,3.35000000
2020-08-20 00:01:00,3.35910000
2020-08-20 00:02:00,3.35790000
2020-08-20 00:03:00,3.36250000
2020-08-20 00:04:00,3.36600000
2020-08-20 00:05:00,3.36860000
2020-08-20 00:06:00,3.37310000
2020-08-20 00:07:00,3.37200000
2020-08-20 00:08:00,3.37310000
2020-08-20 00:09:00,3.37900000
2020-08-20 00:10:00,3.38660000
2020-08-20 00:11:00,3.38870000
2020-08-20 00:12:00,3.38920000
2020-08-20 00:13:00,3.38280000
2020-08-20 00:14:00,3.38790000
2020-08-20 00:15:00,3.38500000
2020-08-20 00:16:00,3.38140000
2020-08-20 00:17:00,3.38260000
2020-08-20 00:18:00,3.38220000
2020-08-20 00:19:00,3.38150000
2020-08-20 00:20:00,3.38430000
2020-08-20 00:21:00,3.38830000
2020-08-20 00:22:00,3.39140000
2020-08-20 00:23:00,3.39790000
2020-08-20 00:24:00,3.39980000
2020-08-20 00:25:00,3.39620000
2020-08-20 00:26:00,3.39710000
2020-08-20 00:27:00,3.39840000
2020-08-20 00:28:00,3.39480000
2020-08-20 00:29:00,3.39510000
2020-08-20 00:30:00,3.39680000
2020-08-20 00:31:00,3.39770000
2020-08-20 00:32:00,3.40040000
2020-08-20 00:33:00,3.40200000
2020-08-20 00:34:00,3.39910000
2020-08-20 00:35:00,3.39240000
2020-08-20 00:36:00,3.39710000
2020-08-20 00:37:00,3.40160000
2020-08-20 00:38:00,3.40270000
2020-08-20 00:39:00,3.40870000
2020-08-20 00:40:00,3.40240000
2020-08-20 00:41:00,3.40370000
2020-08-20 00:42:00,3.40320000
2020-08-20 00:43:00,3.40820000
2020-08-20 00:44:00,3.41320000
2020-08-20 00:45:00,3.42070000
2020-08-20 00:46:00,3.41510000
2020-08-20 00:47:00,3.41450000
2020-08-20 00:48:00,3.40960000
2020-08-20 00:49:00,3.41550000
2020-08-20 00:50:00,3.41060000
2020-08-20 00:51:00,3.40360000
2020-08-20 00:52:00,3.41040000
2020-08-20 00:53:00,3.40810000
2020-08-20 00:54:00,3.40280000
2020-08-20 00:55:00,3.40510000
2020-08-20 00:56:00,3.40530000
2020-08-20 00:57:00,3.40350000
2020-08-20 00:58:00,3.40160000
2020-08-20 00:59:00,3.39750000
2020-08-20 01:00:00,3.39970000
2020-08-20 01:01:00,3.40500000
2020-08-20 01:02:00,3.40080000
2020-08-20 01:03:00,3.40090000
